ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
72,PUERTO RICO,PR,Río Grande,72119,"Río Grande Municipio, Puerto Rico",60.6213213,50550,0,22935,310,15732,517,19357,1364,5050,577,10931,690,8365,748,9397,0,10147,0,11852,800,2122,320.2,50279,229.0,32096,1320.2,1112,198.7,94,74,668,152.2,2221,337,777,149,38.8,2.7,23.3,2.7,10931.0,690.0,23.7,2.1,18.6,0.0,20.1,0.0,23.7,1.6,13.5,2.0,99.5,0.5,66.4,2.7,4.8,0.9,0.4,0.3,4.2,1.0,14.1,2.1,1.5,0.3,0.1169,0.7403,0.3636,0.2338,1.4546,0.3117,0.4935,0.3377,0.6753,0.4935,2.0,0.5065,0.5065,0.4675,0.974,0.4545,0.8052,0.6753,0.7273,0.3506,0.8831,3.4415,0.9351,7.8701,0.5974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3306,564,6.6,1.1,-999
72,PUERTO RICO,PR,Toa Baja,72137,"Toa Baja Municipio, Puerto Rico",23.2439937,79726,0,34681,346,27258,599,28747,1818,5980,714,12763,535,11003,575,14319,0,16478,0,16219,761,3452,381.8,79100,235.0,42960,1692.4,937,176.3,105,58,999,236.6,3406,345,347,152,36.2,2.3,17.5,2.1,12763.0,535.0,19.8,1.0,18.0,0.0,20.7,0.0,20.4,1.0,12.7,1.4,99.2,0.3,56.6,2.2,2.7,0.5,0.3,0.2,3.7,0.9,12.5,1.2,0.4,0.2,0.0909,0.4805,0.1299,0.0909,0.7922,0.1039,0.3896,0.4935,0.4026,0.3766,1.6623,0.2468,0.2857,0.1039,0.3896,0.1558,0.5714,0.4935,0.6494,0.1169,0.4416,2.2728,0.4416,5.1169,0.0649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5415,731,6.8,0.9,-999
72,PUERTO RICO,PR,Vega Baja,72145,"Vega Baja Municipio, Puerto Rico",45.8602878,53371,0,24596,283,18081,547,24080,1573,3319,528,10601,616,11578,782,9963,0,11018,0,11958,803,2087,341.8,51890,325.0,32215,1644.3,328,163.8,126,79,552,174.3,2868,281,308,71,45.3,3.0,18.8,2.7,10601.0,616.0,31.1,2.1,18.7,0.0,20.6,0.0,22.5,1.5,11.5,1.9,97.2,0.6,63.4,3.2,1.3,0.7,0.5,0.3,3.1,1.0,15.9,1.6,0.6,0.1,0.3247,0.5584,0.4675,0.7922,2.1428,0.5844,0.5195,0.4545,0.5584,0.2597,1.7921,0.3506,0.0649,0.2987,0.3636,0.1169,0.2597,0.7922,0.5455,0.5844,0.5844,2.7662,0.7273,7.0647,0.3896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3854,616,7.2,1.2,-999
72,PUERTO RICO,PR,Villalba,72149,"Villalba Municipio, Puerto Rico",35.6366621,22993,0,9089,211,7712,261,10995,888,1956,271,10677,1606,3733,339,3647,0,5184,0,5681,505,1255,198.6,22956,36.0,16592,792.3,319,109.6,11,18,286,110.4,938,152,130,72,48.2,3.9,22.8,2.9,10677.0,1606.0,24.4,2.2,15.9,0.0,22.5,0.0,24.9,2.2,16.3,2.5,99.8,0.2,76.3,3.6,3.5,1.2,0.1,0.2,3.7,1.4,12.2,2.0,0.6,0.3,0.4935,0.7143,0.4156,0.3247,1.9481,0.4805,0.1299,0.8831,0.7143,0.8571,2.5844,0.8961,0.7273,0.8831,1.6104,0.9351,0.7143,0.2208,0.6494,0.0909,0.5844,2.2598,0.4156,8.4027,0.7792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1098,317,4.8,1.4,-999
72,PUERTO RICO,PR,Yauco,72153,"Yauco Municipio, Puerto Rico",67.7114475,36439,0,17427,211,10790,366,17524,965,2222,398,8339,406,7236,537,7393,0,7227,0,10372,630,826,170.4,36391,41.0,24494,1027.6,264,74.3,20,23,199,78.0,1673,248,253,75,48.4,2.7,19.9,3.2,8339.0,406.0,27.9,2.1,20.3,0.0,19.8,0.0,28.6,1.7,7.7,1.6,99.9,0.1,70.3,3.0,1.5,0.4,0.1,0.1,1.8,0.7,15.5,2.2,0.7,0.2,0.5065,0.5844,0.8571,0.5455,2.4935,0.6623,0.7532,0.2338,0.8831,0.0,1.8701,0.4026,0.8571,0.5844,1.4415,0.7662,0.3247,0.2208,0.1169,0.5325,0.6364,1.8313,0.2208,7.6364,0.5455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1927,558,5.3,1.5,-999
72,PUERTO RICO,PR,Aguada,72003,"Aguada Municipio, Puerto Rico",30.8586749,38643,0,17555,212,12819,428,19730,1256,1927,364,9287,557,9321,732,6657,0,7393,0,10815,648,1378,271.3,36528,415.0,23208,1082.6,126,69.9,0,29,391,147.2,1960,276,85,60,51.2,3.3,14.3,2.5,9287.0,557.0,33.9,2.7,17.2,0.0,19.1,0.0,28.0,1.7,10.7,2.1,94.5,1.1,62.8,2.9,0.7,0.4,0.0,0.2,3.1,1.1,15.3,2.2,0.2,0.2,0.6234,0.3506,0.6234,0.9351,2.5325,0.7013,0.3117,0.0909,0.8701,0.1818,1.4545,0.1429,0.039,0.2468,0.2858,0.1039,0.1039,0.0,0.5455,0.4805,0.2078,1.3377,0.0779,5.6105,0.1558,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2249,512,5.8,1.3,-999
72,PUERTO RICO,PR,Aguadilla,72005,"Aguadilla Municipio, Puerto Rico",36.5315693,54166,0,27241,261,21604,489,27075,1208,3544,452,11339,850,10650,591,10903,0,10955,0,11890,719,3262,328.4,53423,305.0,29808,1284.5,2517,250.7,41,46,373,121.1,3996,364,1753,303,51.3,2.3,20.4,2.3,11339.0,850.0,28.0,1.6,20.1,0.0,20.2,0.0,22.6,1.4,15.1,1.5,98.6,0.6,57.6,2.5,9.2,0.9,0.2,0.2,1.7,0.6,18.5,1.6,3.2,0.6,0.6364,0.6104,0.2727,0.5714,2.0909,0.5714,0.7273,0.3636,0.5714,0.7403,2.4026,0.8052,0.1169,0.1169,0.2338,0.0649,0.8571,0.3636,0.0779,0.8182,0.974,3.0908,0.8182,7.8181,0.5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2698,415,5.1,0.8,-999
72,PUERTO RICO,PR,Aguas Buenas,72007,"Aguas Buenas Municipio, Puerto Rico",30.0848713,26275,0,10762,236,8469,322,13185,876,1716,356,10188,1146,5950,503,4738,0,5434,0,7930,649,1115,225.0,26054,204.0,17690,941.6,61,45.3,40,62,122,78.9,1624,230,195,110,50.5,3.3,18.5,3.8,10188.0,1146.0,32.5,2.7,18.0,0.0,20.7,0.0,30.3,2.5,13.2,2.6,99.2,0.8,70.3,3.7,0.6,0.4,0.4,0.6,1.4,0.9,19.2,2.6,0.7,0.4,0.5714,0.5455,0.5195,0.8571,2.4935,0.6623,0.3896,0.4935,0.9481,0.4156,2.2468,0.6494,0.2857,0.5844,0.8701,0.4026,0.0909,0.6753,0.039,0.8961,0.6364,2.3377,0.4805,7.9481,0.6753,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2007,433,7.7,1.7,-999
72,PUERTO RICO,PR,Bayamón,72021,"Bayamón Municipio, Puerto Rico",44.3307865,182955,0,83260,552,67940,901,62177,2089,10423,665,14377,373,25906,954,37188,0,34703,0,47640,1117,9778,628.1,181816,347.0,92505,2055.9,6574,533.5,324,108,1616,267.4,8776,509,6183,663,35.0,1.2,13.7,0.8,14377.0,373.0,19.9,0.7,20.3,0.0,19.0,0.0,26.8,0.6,14.4,0.9,99.4,0.2,52.9,1.2,7.9,0.6,0.4,0.1,2.4,0.4,12.9,0.8,3.4,0.4,0.0779,0.2987,0.0909,0.1039,0.5714,0.0649,0.7532,0.0779,0.8312,0.6104,2.2727,0.6883,0.3896,0.039,0.4286,0.1818,0.8442,0.6753,0.3247,0.1688,0.987,3.0,0.7792,6.2727,0.2468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12604,948,7.1,0.5,-999
72,PUERTO RICO,PR,Cabo Rojo,72023,"Cabo Rojo Municipio, Puerto Rico",70.3726737,49005,0,29603,307,15656,580,25926,1798,1991,470,9245,754,10856,781,10666,0,9482,0,7608,758,1892,329.8,48939,77.0,27953,1615.2,1999,323.2,1324,238,610,172.4,2118,284,152,99,53.1,3.7,14.0,3.2,9245.0,754.0,31.0,2.2,21.8,0.0,19.3,0.0,15.6,1.6,12.1,2.1,99.9,0.2,59.4,3.4,6.8,1.1,4.5,0.8,3.9,1.1,13.5,1.7,0.3,0.2,0.7143,0.3247,0.6494,0.7792,2.4676,0.6494,0.8961,0.1039,0.1818,0.3117,1.4935,0.1688,0.8571,0.1688,1.0259,0.5455,0.8312,1.0,0.7013,0.2597,0.3506,3.1428,0.8442,8.1298,0.7273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2188,628,4.5,1.3,-999
