,FID,ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP,year
86,,72,PUERTO RICO,PR,Coamo,72043,"Coamo Municipio, Puerto Rico",78.0128056,39265.0,0.0,16305.0,242.0,13346.0,331.0,18411.0,1425.0,933.0,330.0,10761.0,797.0,6739.0,632.0,6486.0,0.0,8342.0,0.0,9676.0,708.0,2144.0,330.8,39049.0,214.0,26340.0,1130.0,335.0,107.4,0.0,29.0,433.0,162.3,1922.0,268.0,109.0,63.0,47.0,3.6,7.4,2.4,10761.0,797.0,24.5,2.3,16.5,0.0,21.2,0.0,24.7,1.8,16.1,2.4,99.4,0.5,70.3,3.0,2.1,0.7,0.0,0.3,3.2,1.2,14.4,2.0,0.3,0.2,0.4156,0.0649,0.3896,0.3377,1.2078,0.2338,0.2208,0.6234,0.7013,0.8312,2.3767,0.7792,0.3896,0.5844,0.974,0.4545,0.5065,0.0,0.5714,0.3766,0.3506,1.8051,0.2078,6.3636,0.2987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760.0,467.0,4.5,1.2,-999.0,2018
87,,72,PUERTO RICO,PR,Florida,72054,"Florida Municipio, Puerto Rico",15.2091365,11910.0,0.0,4948.0,157.0,4291.0,236.0,6227.0,736.0,673.0,208.0,8871.0,910.0,1685.0,303.0,2020.0,0.0,2578.0,0.0,2297.0,380.0,647.0,231.5,11770.0,97.0,7953.0,868.2,64.0,72.5,0.0,21.0,154.0,101.2,448.0,149.0,15.0,28.0,52.3,6.2,17.2,5.0,8871.0,910.0,20.8,3.7,17.0,0.0,21.6,0.0,19.3,3.2,15.1,5.3,98.8,0.8,70.5,7.7,1.3,1.5,0.0,0.9,3.6,2.4,10.4,3.4,0.1,0.2,0.7013,0.4416,0.7403,0.1169,2.0001,0.5065,0.2857,0.7403,0.3247,0.7403,2.091,0.5844,0.1429,0.6364,0.7793,0.3506,0.2597,0.0,0.6234,0.013,0.0649,0.961,0.013,5.8314,0.1948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,396.0,183.0,3.3,1.5,-999.0,2018
88,,72,PUERTO RICO,PR,Guayanilla,72059,"Guayanilla Municipio, Puerto Rico",42.2705956,19008.0,0.0,8265.0,172.0,6485.0,255.0,10521.0,663.0,1373.0,258.0,8717.0,500.0,3411.0,326.0,3639.0,0.0,4115.0,0.0,2952.0,318.0,1081.0,183.6,18928.0,71.0,12887.0,785.2,156.0,68.3,18.0,20.0,167.0,79.9,871.0,172.0,76.0,54.0,55.6,3.5,22.7,4.1,8717.0,500.0,26.0,2.5,19.1,0.0,21.6,0.0,15.6,1.7,16.7,2.8,99.6,0.4,71.3,4.3,1.9,0.8,0.2,0.2,2.6,1.2,13.4,2.6,0.4,0.3,0.8182,0.7013,0.8052,0.4156,2.7403,0.7792,0.6104,0.7403,0.1818,0.8831,2.4156,0.8312,0.5844,0.6883,1.2727,0.7143,0.4545,0.3636,0.4026,0.2208,0.4416,1.8831,0.2468,8.3117,0.7532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0,213.0,3.4,1.1,-999.0,2018
89,,72,PUERTO RICO,PR,Gurabo,72063,"Gurabo Municipio, Puerto Rico",27.8875861,46894.0,0.0,17323.0,283.0,14780.0,387.0,13676.0,1483.0,3537.0,643.0,17393.0,1556.0,6971.0,787.0,6914.0,0.0,10092.0,0.0,10754.0,959.0,1806.0,336.1,46179.0,299.0,26043.0,1895.4,371.0,161.4,8.0,13.0,366.0,167.0,1973.0,358.0,332.0,127.0,29.3,3.2,16.4,3.0,17393.0,1556.0,21.6,2.4,14.7,0.0,21.5,0.0,23.0,2.0,12.2,2.3,98.5,0.6,58.1,4.2,2.1,0.9,0.0,0.1,2.5,1.1,13.3,2.4,0.7,0.3,0.026,0.4156,0.026,0.1429,0.6105,0.0779,0.039,0.7143,0.6104,0.3247,1.6884,0.2857,0.0909,0.1299,0.2208,0.0519,0.5065,0.0,0.3636,0.2078,0.6364,1.7143,0.1688,4.234,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3180.0,717.0,6.8,1.5,-999.0,2018
90,,72,PUERTO RICO,PR,Hatillo,72065,"Hatillo Municipio, Puerto Rico",41.7815206,40390.0,0.0,16902.0,247.0,14093.0,445.0,18717.0,1491.0,915.0,243.0,10659.0,759.0,8685.0,683.0,7561.0,0.0,7974.0,0.0,3713.0,535.0,1455.0,283.0,40346.0,50.0,25142.0,1274.1,180.0,81.7,0.0,29.0,177.0,95.1,1787.0,290.0,99.0,55.0,46.5,3.7,7.0,1.9,10659.0,759.0,30.3,2.4,18.7,0.0,19.7,0.0,9.2,1.3,10.3,2.0,99.9,0.1,64.9,3.3,1.1,0.5,0.0,0.3,1.3,0.7,12.7,2.1,0.2,0.1,0.3896,0.0519,0.4286,0.7143,1.5844,0.3506,0.5195,0.1818,0.0519,0.0909,0.8441,0.0,0.8571,0.3766,1.2337,0.6883,0.1948,0.0,0.013,0.1558,0.2078,0.5714,0.0,4.2336,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2043.0,489.0,5.1,1.2,-999.0,2018
91,,72,PUERTO RICO,PR,Humacao,72069,"Humacao Municipio, Puerto Rico",44.7608006,53466.0,0.0,26675.0,288.0,17896.0,562.0,23600.0,1503.0,2317.0,413.0,12093.0,1287.0,8955.0,750.0,10692.0,0.0,10651.0,0.0,5310.0,558.0,2447.0,333.2,53157.0,184.0,34602.0,1502.5,2608.0,301.3,66.0,49.0,761.0,234.4,2191.0,366.0,434.0,166.0,44.5,2.8,13.6,2.5,12093.0,1287.0,23.7,2.0,20.0,0.0,19.9,0.0,10.0,1.1,13.7,1.8,99.4,0.3,67.9,2.9,9.8,1.1,0.2,0.2,4.3,1.3,12.2,1.9,0.8,0.3,0.2857,0.2857,0.1558,0.2338,0.961,0.1558,0.6753,0.2597,0.0909,0.5325,1.5584,0.2078,0.3896,0.4935,0.8831,0.4156,0.8701,0.3636,0.7403,0.0909,0.7273,2.7922,0.7403,6.1947,0.2208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974.0,376.0,3.7,0.7,-999.0,2018
92,,72,PUERTO RICO,PR,Isabela,72071,"Isabela Municipio, Puerto Rico",55.3113671,42420.0,0.0,20391.0,247.0,15012.0,467.0,23156.0,1408.0,2439.0,380.0,9228.0,700.0,8645.0,750.0,7921.0,0.0,8356.0,0.0,11158.0,711.0,1843.0,329.1,42026.0,190.0,26431.0,1633.9,567.0,158.4,56.0,62.0,290.0,130.8,2012.0,345.0,324.0,110.0,54.9,3.3,18.4,2.8,9228.0,700.0,28.7,2.5,18.7,0.0,19.7,0.0,26.5,1.7,12.3,2.2,99.1,0.4,65.0,4.0,2.8,0.8,0.3,0.3,1.9,0.9,13.4,2.3,0.8,0.3,0.7922,0.5195,0.6623,0.6364,2.6104,0.7143,0.5195,0.1818,0.8182,0.3506,1.8701,0.4026,0.2468,0.3896,0.6364,0.2857,0.6494,0.4935,0.1429,0.2208,0.7273,2.2339,0.3766,7.3508,0.4545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2701.0,576.0,6.4,1.4,-999.0,2018
93,,72,PUERTO RICO,PR,Las Piedras,72085,"Las Piedras Municipio, Puerto Rico",33.8798188,37768.0,0.0,15528.0,242.0,12527.0,433.0,16290.0,1370.0,2347.0,463.0,11239.0,851.0,5971.0,510.0,6210.0,0.0,8006.0,0.0,4606.0,575.0,1711.0,340.0,37736.0,40.0,25498.0,1278.5,177.0,92.3,0.0,29.0,605.0,199.4,1312.0,260.0,53.0,58.0,43.2,3.6,18.3,3.2,11239.0,851.0,22.7,1.9,16.4,0.0,21.2,0.0,12.2,1.5,13.7,2.7,99.9,0.1,70.7,3.5,1.1,0.6,0.0,0.3,4.8,1.6,10.5,2.1,0.1,0.2,0.2208,0.5065,0.2857,0.1818,1.1948,0.2208,0.2078,0.6234,0.1429,0.5325,1.5066,0.1818,0.8571,0.6623,1.5194,0.8312,0.1948,0.0,0.8182,0.026,0.0649,1.1039,0.026,5.3247,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1975.0,476.0,5.2,1.3,-999.0,2018
94,,72,PUERTO RICO,PR,Moca,72099,"Moca Municipio, Puerto Rico",50.3413583,36872.0,0.0,16030.0,270.0,13278.0,414.0,20990.0,1501.0,3235.0,489.0,8806.0,1052.0,8185.0,693.0,5939.0,0.0,7956.0,0.0,7792.0,619.0,1790.0,293.8,36733.0,81.0,24352.0,1297.4,203.0,124.0,75.0,80.0,327.0,150.4,1852.0,297.0,250.0,210.0,57.2,4.1,26.5,4.0,8806.0,1052.0,32.4,2.7,16.1,0.0,21.6,0.0,21.2,1.7,13.5,2.2,99.6,0.2,69.4,3.7,1.3,0.8,0.5,0.5,2.5,1.1,13.9,2.2,0.7,0.6,0.8831,0.8571,0.7662,0.8442,3.3506,0.9091,0.1688,0.7403,0.4805,0.4935,1.8831,0.4286,0.5844,0.5455,1.1299,0.6104,0.2597,0.7922,0.3636,0.2987,0.6364,2.3506,0.4935,8.7142,0.8442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1599.0,391.0,4.4,1.1,-999.0,2018
95,,72,PUERTO RICO,PR,Morovis,72101,"Morovis Municipio, Puerto Rico",38.8712756,31320.0,0.0,11634.0,225.0,9943.0,290.0,14209.0,1224.0,2253.0,500.0,9715.0,631.0,6502.0,633.0,4570.0,0.0,6960.0,0.0,6867.0,635.0,1672.0,247.8,31221.0,61.0,20908.0,1100.5,319.0,91.2,22.0,36.0,225.0,97.6,1391.0,227.0,61.0,49.0,45.5,3.9,20.8,4.1,9715.0,631.0,30.9,3.0,14.6,0.0,22.2,0.0,21.9,2.0,16.8,2.4,99.7,0.2,70.2,3.7,2.7,0.8,0.2,0.3,2.3,1.0,14.0,2.2,0.2,0.2,0.3377,0.6364,0.5714,0.7662,2.3117,0.6234,0.026,0.8571,0.5195,0.8961,2.2987,0.7273,0.6623,0.5714,1.2337,0.6883,0.5714,0.3636,0.2727,0.3117,0.2078,1.7272,0.1818,7.5713,0.5325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1747.0,412.0,5.6,1.3,-999.0,2018
