,COUNTY,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,year
74,Vieques,9046.0,5036.0,2673.0,3220.0,410.0,9808.0,1903.0,1773.0,1966.0,761.0,174.0,8755.0,5449.0,0.0,111.0,94.0,539.0,0.0,2016
75,Villalba,24186.0,9144.0,7870.0,12185.0,2296.0,8733.0,4619.0,3416.0,5858.0,5466.0,1314.0,24177.0,17834.0,293.0,19.0,375.0,1117.0,189.0,2016
76,Yabucoa,35670.0,14771.0,12011.0,17603.0,2607.0,8531.0,7912.0,5888.0,7841.0,6631.0,1911.0,35639.0,25237.0,119.0,0.0,466.0,2028.0,79.0,2016
77,Yauco,38519.0,17252.0,10658.0,19162.0,2865.0,7998.0,8140.0,7051.0,8251.0,10713.0,722.0,38389.0,25729.0,355.0,7.0,296.0,1933.0,311.0,2016
78,Aibonito,23457.0,9800.0,8301.0,10768.0,376.0,10630.0,3884.0,4439.0,4693.0,6117.0,1204.0,23415.0,16811.0,117.0,35.0,331.0,1202.0,27.0,2018
79,Añasco,27368.0,12524.0,8933.0,11831.0,1290.0,10259.0,5955.0,5234.0,5307.0,6914.0,965.0,26494.0,17923.0,224.0,18.0,117.0,1154.0,122.0,2018
80,Arecibo,87242.0,41309.0,31788.0,41504.0,4910.0,10203.0,14979.0,17765.0,17035.0,17640.0,4062.0,86776.0,52381.0,1820.0,22.0,644.0,5395.0,1217.0,2018
81,Barceloneta,24299.0,10094.0,8010.0,12184.0,1339.0,9170.0,4442.0,4426.0,5183.0,4974.0,1299.0,24262.0,15184.0,50.0,20.0,200.0,1100.0,18.0,2018
82,Caguas,131363.0,57739.0,48629.0,48880.0,7475.0,14654.0,17786.0,24767.0,26564.0,31075.0,7085.0,130282.0,76648.0,3334.0,74.0,1175.0,7755.0,1106.0,2018
83,Camuy,32222.0,14114.0,11431.0,16153.0,1628.0,10252.0,6451.0,5960.0,6378.0,6449.0,1258.0,32022.0,21243.0,112.0,36.0,210.0,1326.0,113.0,2018
84,Ciales,16912.0,7243.0,5870.0,9341.0,847.0,8398.0,3917.0,3111.0,3555.0,4454.0,935.0,16762.0,11786.0,144.0,0.0,132.0,1065.0,17.0,2018
85,Cidra,40343.0,15825.0,12913.0,17095.0,2490.0,11079.0,6698.0,6465.0,8474.0,11618.0,1692.0,40195.0,26989.0,76.0,79.0,293.0,1959.0,174.0,2018
86,Coamo,39265.0,16305.0,13346.0,18411.0,933.0,10761.0,6739.0,6486.0,8342.0,9676.0,2144.0,39049.0,26340.0,335.0,0.0,433.0,1922.0,109.0,2018
87,Florida,11910.0,4948.0,4291.0,6227.0,673.0,8871.0,1685.0,2020.0,2578.0,2297.0,647.0,11770.0,7953.0,64.0,0.0,154.0,448.0,15.0,2018
88,Guayanilla,19008.0,8265.0,6485.0,10521.0,1373.0,8717.0,3411.0,3639.0,4115.0,2952.0,1081.0,18928.0,12887.0,156.0,18.0,167.0,871.0,76.0,2018
89,Gurabo,46894.0,17323.0,14780.0,13676.0,3537.0,17393.0,6971.0,6914.0,10092.0,10754.0,1806.0,46179.0,26043.0,371.0,8.0,366.0,1973.0,332.0,2018
90,Hatillo,40390.0,16902.0,14093.0,18717.0,915.0,10659.0,8685.0,7561.0,7974.0,3713.0,1455.0,40346.0,25142.0,180.0,0.0,177.0,1787.0,99.0,2018
91,Humacao,53466.0,26675.0,17896.0,23600.0,2317.0,12093.0,8955.0,10692.0,10651.0,5310.0,2447.0,53157.0,34602.0,2608.0,66.0,761.0,2191.0,434.0,2018
92,Isabela,42420.0,20391.0,15012.0,23156.0,2439.0,9228.0,8645.0,7921.0,8356.0,11158.0,1843.0,42026.0,26431.0,567.0,56.0,290.0,2012.0,324.0,2018
93,Las Piedras,37768.0,15528.0,12527.0,16290.0,2347.0,11239.0,5971.0,6210.0,8006.0,4606.0,1711.0,37736.0,25498.0,177.0,0.0,605.0,1312.0,53.0,2018
94,Moca,36872.0,16030.0,13278.0,20990.0,3235.0,8806.0,8185.0,5939.0,7956.0,7792.0,1790.0,36733.0,24352.0,203.0,75.0,327.0,1852.0,250.0,2018
95,Morovis,31320.0,11634.0,9943.0,14209.0,2253.0,9715.0,6502.0,4570.0,6960.0,6867.0,1672.0,31221.0,20908.0,319.0,22.0,225.0,1391.0,61.0,2018
96,Quebradillas,24036.0,10399.0,8286.0,12488.0,912.0,9819.0,4652.0,4495.0,4945.0,5016.0,1154.0,23869.0,16186.0,213.0,39.0,134.0,1210.0,24.0,2018
97,Río Grande,50550.0,22935.0,15732.0,19357.0,5050.0,10931.0,8365.0,9397.0,10147.0,11852.0,2122.0,50279.0,32096.0,1112.0,94.0,668.0,2221.0,777.0,2018
98,Toa Baja,79726.0,34681.0,27258.0,28747.0,5980.0,12763.0,11003.0,14319.0,16478.0,16219.0,3452.0,79100.0,42960.0,937.0,105.0,999.0,3406.0,347.0,2018
99,Vega Baja,53371.0,24596.0,18081.0,24080.0,3319.0,10601.0,11578.0,9963.0,11018.0,11958.0,2087.0,51890.0,32215.0,328.0,126.0,552.0,2868.0,308.0,2018
100,Villalba,22993.0,9089.0,7712.0,10995.0,1956.0,10677.0,3733.0,3647.0,5184.0,5681.0,1255.0,22956.0,16592.0,319.0,11.0,286.0,938.0,130.0,2018
