,COUNTY,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,year
132,Hormigueros,16180.0,7658.0,6253.0,6592.0,1439.0,11874.0,2927.0,4218.0,2898.0,4801.0,736.0,16166.0,10012.0,356.0,0.0,185.0,1079.0,135.0,2018
133,Rincón,14269.0,9453.0,5128.0,6002.0,497.0,11650.0,3370.0,3307.0,2607.0,3855.0,511.0,12966.0,7487.0,1115.0,26.0,77.0,739.0,25.0,2018
134,San Germán,32114.0,15682.0,11840.0,16376.0,679.0,9874.0,6808.0,7383.0,6302.0,3516.0,1118.0,31941.0,19391.0,522.0,0.0,429.0,2239.0,701.0,2018
135,Santa Isabel,22066.0,9282.0,7465.0,10392.0,707.0,10895.0,2659.0,3368.0,5139.0,5152.0,1424.0,21977.0,13874.0,252.0,35.0,164.0,1003.0,6.0,2018
136,Vega Alta,37724.0,15992.0,12229.0,17693.0,2508.0,11678.0,6888.0,6424.0,8355.0,6637.0,1660.0,37358.0,22816.0,685.0,108.0,427.0,1899.0,782.0,2018
137,Arroyo,18111.0,8446.0,6002.0,10503.0,510.0,7979.0,2774.0,3249.0,4090.0,4231.0,1079.0,18073.0,13004.0,111.0,58.0,354.0,924.0,18.0,2018
138,Comerío,19539.0,7451.0,5836.0,11734.0,1670.0,6903.0,4517.0,3271.0,4140.0,5642.0,904.0,19445.0,13848.0,204.0,0.0,115.0,1443.0,11.0,2018
139,Corozal,34165.0,12728.0,10768.0,19100.0,3428.0,7619.0,7238.0,5702.0,7477.0,8690.0,1113.0,33842.0,23679.0,41.0,163.0,472.0,1581.0,322.0,2018
140,Culebra,1314.0,1541.0,475.0,541.0,5.0,11830.0,298.0,287.0,265.0,94.0,45.0,1217.0,698.0,56.0,26.0,47.0,120.0,0.0,2018
141,Lares,26451.0,12234.0,9960.0,14472.0,2567.0,8735.0,7012.0,5082.0,5261.0,4671.0,1090.0,26386.0,19864.0,132.0,73.0,221.0,1424.0,260.0,2018
142,Loíza,26463.0,11563.0,8728.0,13416.0,2773.0,8809.0,4575.0,4213.0,5785.0,5234.0,1364.0,26456.0,18814.0,510.0,6.0,543.0,2065.0,83.0,2018
143,Maunabo,11023.0,5329.0,3882.0,5364.0,822.0,9471.0,2642.0,2271.0,2189.0,1334.0,331.0,10896.0,8568.0,91.0,0.0,301.0,726.0,6.0,2018
144,Mayagüez,77255.0,40916.0,29912.0,40544.0,6890.0,10678.0,14732.0,17339.0,13909.0,20843.0,3984.0,76836.0,44176.0,6877.0,34.0,731.0,6224.0,1174.0,2018
145,Orocovis,21407.0,8580.0,6734.0,12258.0,2288.0,7889.0,4811.0,3335.0,4724.0,6716.0,1346.0,21348.0,15520.0,70.0,16.0,248.0,1243.0,142.0,2018
146,Ponce,143926.0,66038.0,52696.0,71756.0,6305.0,11368.0,22927.0,28762.0,30030.0,24756.0,8196.0,143116.0,87565.0,7881.0,105.0,1364.0,10715.0,3552.0,2018
147,Salinas,28633.0,13540.0,10374.0,15345.0,737.0,9034.0,5143.0,5147.0,6491.0,5876.0,1984.0,28619.0,18900.0,367.0,36.0,312.0,1577.0,100.0,2018
148,San Juan,344606.0,191471.0,144573.0,142021.0,22896.0,18569.0,48567.0,72541.0,64818.0,66338.0,19435.0,340168.0,160814.0,54994.0,248.0,3068.0,37296.0,7200.0,2018
149,Las Marías,8599.0,3883.0,2872.0,4864.0,70.0,7098.0,2710.0,1624.0,1822.0,653.0,304.0,8549.0,6969.0,18.0,0.0,197.0,432.0,92.0,2018
150,Adjuntas,18181.0,7594.0,5861.0,11325.0,2370.0,7126.0,4534.0,3230.0,3908.0,3663.0,826.0,18129.0,13391.0,132.0,29.0,150.0,1031.0,77.0,2018
151,Guánica,16783.0,9340.0,5469.0,10699.0,1479.0,7430.0,3668.0,3730.0,3499.0,5735.0,570.0,16641.0,11477.0,168.0,12.0,126.0,895.0,82.0,2018
152,Jayuya,14906.0,6210.0,5087.0,8850.0,946.0,7519.0,2304.0,2300.0,3398.0,3178.0,947.0,14849.0,10651.0,145.0,19.0,114.0,918.0,259.0,2018
153,Lajas,23315.0,12249.0,7911.0,14309.0,1241.0,7233.0,6374.0,5293.0,4409.0,5058.0,824.0,23273.0,15010.0,243.0,324.0,280.0,1108.0,43.0,2018
154,Maricao,6202.0,2591.0,1930.0,3979.0,189.0,5974.0,2127.0,1132.0,1221.0,522.0,240.0,6192.0,4992.0,18.0,8.0,148.0,325.0,15.0,2018
155,Barranquitas,28755.0,10764.0,8918.0,16771.0,1001.0,8221.0,5338.0,4147.0,6680.0,7377.0,1640.0,28755.0,21598.0,147.0,67.0,552.0,1372.0,376.0,2018
